T: 2020-08-08 14:06:32.397965: Scoreboard Controller V0.9 
T: 2020-08-08 14:06:32.399664: AusSport Scoreboards - all rights reserved
T: 2020-08-08 14:13:30.467709: (0, 0, 1, 248, 7, 0, 241, 248, 0, 0, 1, 248, 0, 0, 255, 255, 0, 0, 255, 255, 7, 15, 15, 255)
T: 2020-08-08 14:13:31.467759: (0, 0, 1, 248, 7, 0, 241, 248, 0, 0, 1, 248, 0, 0, 255, 255, 0, 0, 255, 255, 0, 0, 1, 248)
T: 2020-08-08 14:13:32.468101: (0, 0, 1, 248, 7, 0, 241, 248, 0, 0, 1, 248, 0, 0, 255, 255, 0, 0, 255, 255, 0, 15, 254, 63)
T: 2020-08-08 14:13:33.467883: (0, 0, 1, 248, 7, 0, 241, 248, 0, 0, 1, 248, 0, 0, 255, 255, 0, 0, 255, 255, 0, 0, 255, 255)
T: 2020-08-08 14:13:34.468028: (0, 0, 1, 248, 7, 0, 241, 248, 0, 0, 1, 248, 0, 0, 255, 255, 0, 0, 255, 255, 7, 0, 241, 248)
T: 2020-08-08 14:13:35.468012: (0, 0, 1, 248, 7, 0, 241, 248, 0, 0, 1, 248, 0, 0, 255, 255, 0, 0, 255, 255, 7, 0, 255, 199)
T: 2020-08-08 14:13:36.468416: (0, 0, 1, 248, 7, 0, 241, 248, 0, 0, 1, 248, 0, 0, 255, 255, 0, 0, 255, 255, 7, 15, 255, 199)
T: 2020-08-08 14:13:37.468706: (0, 0, 1, 248, 7, 0, 241, 248, 0, 0, 1, 248, 0, 0, 255, 255, 0, 0, 255, 255, 0, 0, 1, 255)
T: 2020-08-08 14:13:38.468634: (0, 0, 1, 248, 7, 0, 241, 248, 0, 0, 1, 248, 0, 0, 255, 255, 0, 0, 255, 255, 7, 15, 255, 255)
T: 2020-08-08 14:13:39.468617: (0, 0, 1, 248, 7, 0, 241, 248, 0, 0, 1, 248, 0, 0, 255, 255, 0, 0, 255, 255, 7, 0, 255, 255)
T: 2020-08-08 14:13:40.468734: (0, 0, 1, 248, 7, 0, 241, 248, 0, 0, 1, 248, 0, 0, 255, 255, 7, 0, 241, 248, 7, 15, 15, 255)
T: 2020-08-08 14:13:41.468726: (0, 0, 1, 248, 7, 0, 241, 248, 0, 0, 1, 248, 0, 0, 255, 255, 7, 0, 241, 248, 0, 0, 1, 248)
T: 2020-08-08 14:13:42.469132: (0, 0, 1, 248, 7, 0, 241, 248, 0, 0, 1, 248, 0, 0, 255, 255, 7, 0, 241, 248, 0, 15, 254, 63)
T: 2020-08-08 14:13:43.469102: (0, 0, 1, 248, 7, 0, 241, 248, 0, 0, 1, 248, 0, 0, 255, 255, 7, 0, 241, 248, 0, 0, 255, 255)
T: 2020-08-08 14:13:44.469377: (0, 0, 1, 248, 7, 0, 241, 248, 0, 0, 1, 248, 0, 0, 255, 255, 7, 0, 241, 248, 7, 0, 241, 248)
T: 2020-08-08 14:13:45.469246: (0, 0, 1, 248, 7, 0, 241, 248, 0, 0, 1, 248, 0, 0, 255, 255, 7, 0, 241, 248, 7, 0, 255, 199)
T: 2020-08-08 14:13:46.469617: (0, 0, 1, 248, 7, 0, 241, 248, 0, 0, 1, 248, 0, 0, 255, 255, 7, 0, 241, 248, 7, 15, 255, 199)
T: 2020-08-08 14:13:47.469515: (0, 0, 1, 248, 7, 0, 241, 248, 0, 0, 1, 248, 0, 0, 255, 255, 7, 0, 241, 248, 0, 0, 1, 255)
T: 2020-08-08 14:13:48.469589: (0, 0, 1, 248, 7, 0, 241, 248, 0, 0, 1, 248, 0, 0, 255, 255, 7, 0, 241, 248, 7, 15, 255, 255)
T: 2020-08-08 14:13:49.469496: (0, 0, 1, 248, 7, 0, 241, 248, 0, 0, 1, 248, 0, 0, 255, 255, 7, 0, 241, 248, 7, 0, 255, 255)
